FECHAS;N1;N2;N3;N4;N5;N6
04/06/2025;1;36;50;30;5;21
01/06/2025;2;16;19;14;43;22
28/05/2025;2;16;15;50;9;4
25/05/2025;21;31;1;9;4;8
21/05/2025;7;36;24;34;45;11
18/05/2025;11;13;42;9;33;15
14/05/2025;38;7;12;13;4;9
11/05/2025;46;21;49;45;3;43
07/05/2025;48;2;38;50;33;35
04/05/2025;9;35;19;15;37;10
30/04/2025;11;36;33;6;2;16
27/04/2025;46;33;21;8;7;41
23/04/2025;22;16;20;33;35;9
20/04/2025;33;2;6;42;34;11
16/04/2025;14;31;46;38;48;12
13/04/2025;22;36;39;48;46;44
09/04/2025;35;24;49;1;12;39
06/04/2025;34;42;5;49;16;27
02/04/2025;46;10;23;31;40;22
30/03/2025;46;29;25;31;28;47
26/03/2025;43;1;5;37;35;13
23/03/2025;24;7;18;3;37;49
19/03/2025;32;41;42;37;34;4
16/03/2025;15;30;49;12;5;27
12/03/2025;44;34;7;17;16;32
09/03/2025;1;42;44;20;38;23
05/03/2025;1;32;3;12;28;47
02/03/2025;39;9;28;46;18;44
26/02/2025;23;16;12;25;13;21
23/02/2025;10;44;30;5;8;36
19/02/2025;44;2;19;47;29;31
16/02/2025;16;22;34;11;6;45
12/02/2025;23;18;32;33;24;44
09/02/2025;34;3;46;35;33;12
05/02/2025;19;12;27;33;24;30
02/02/2025;20;48;14;12;28;4
29/01/2025;33;23;17;13;24;12
26/01/2025;33;26;35;30;13;18
22/01/2025;21;10;49;31;32;6
19/01/2025;23;44;45;5;2;1
15/01/2025;36;16;47;38;19;46
12/01/2025;49;32;41;44;26;34
08/01/2025;40;25;24;47;20;44
05/01/2025;18;49;45;13;35;22
01/01/2025;33;24;9;38;22;46
29/12/2024;49;41;29;50;35;42
25/12/2024;14;39;24;2;5;15
22/12/2024;17;2;49;40;24;1
18/12/2024;22;28;33;19;47;35
15/12/2024;48;26;45;8;6;4
11/12/2024;43;4;39;31;10;46
08/12/2024;44;8;45;43;26;17
04/12/2024;17;29;20;38;2;36
01/12/2024;42;9;27;12;35;15
27/11/2024;23;5;17;9;34;13
24/11/2024;46;5;45;19;29;26
20/11/2024;36;27;28;26;29;3
17/11/2024;11;37;7;46;42;15
13/11/2024;49;19;35;9;17;18
10/11/2024;41;38;46;9;40;31
06/11/2024;46;2;17;48;15;40
03/11/2024;4;24;37;36;14;2
30/10/2024;42;15;22;9;7;18
27/10/2024;6;27;32;16;24;47
23/10/2024;28;9;16;1;46;40
20/10/2024;8;50;24;33;10;15
16/10/2024;29;31;8;47;12;10
13/10/2024;31;17;28;9;21;5
